cik,tic,Year,cluster_10,cluster_100
874716,IDXX,2021,5,12
91440,SNA,2021,9,33
88121,SEB,2021,4,64
702325,FMBI,2021,3,11
752642,UMH,2021,1,66
1355096,QRTEA,2021,0,67
860730,HCA,2021,7,83
18255,CATO,2021,0,5
105016,WSO,2021,4,79
1142596,NUVA,2021,5,51
908255,BWA,2021,9,79
1705110,ANGI,2021,7,49
1378453,TA,2021,0,50
49754,DIN,2021,0,48
89439,MLI,2021,9,41
1579877,OUT,2021,7,49
1004980,PCG,2021,6,46
1711269,EVRG,2021,6,25
93751,STT,2021,3,92
314808,VAL,2021,4,99
101829,RTX,2021,9,54
1206264,TPX,2021,9,0
821002,GIII,2021,0,62
103872,VOLT,2021,8,90
1166003,XPO,2021,9,24
911177,CWST,2021,4,53
1411207,ALSN,2021,9,79
36146,TRMK,2021,3,84
896262,AMED,2021,7,42
1637655,HZN,2021,9,34
935703,DLTR,2021,0,35
849399,GEN,2021,8,32
1046102,RBA,2021,9,40
1468328,ADUS,2021,7,42
1107843,QLYS,2021,8,32
1272830,VG,2021,7,32
40729,ALLY,2021,3,92
62709,MMC,2021,7,83
96021,SYY,2021,0,0
780571,ITRI,2021,8,20
66740,MMM,2021,9,78
1553023,CONE,2021,7,17
1019849,PAG,2021,9,70
12208,BIO,2021,5,85
884887,RCL,2021,7,71
1590955,PAYC,2021,7,98
1659166,FTV,2021,8,7
1035201,CWT,2021,2,29
1062231,AXL,2021,9,79
824142,AAON,2021,9,86
1075531,BKNG,2021,7,13
1050825,SCS,2021,9,82
1005284,OLED,2021,8,76
94845,LEVI,2021,0,62
891166,UVE,2021,7,47
11544,WRB,2021,7,47
1136893,FIS,2021,7,57
717954,UNF,2021,9,93
1468174,H,2021,1,52
1653653,RRR,2021,1,52
1627223,CC,2021,9,80
1021860,NOV,2021,4,75
1744489,DIS,2021,7,49
1102112,PACW,2021,3,84
28823,DBD,2021,8,90
100517,UAL,2021,7,71
