cik,tic,Year,cluster_10,cluster_100
1551152,ABBV,2021,7,11
1739940,CI,2021,3,66
943819,RMD,2021,7,2
799233,HTLD,2021,8,61
1267238,AIZ,2021,5,57
1590976,MBUU,2021,2,1
320193,AAPL,2021,3,68
1057877,IDA,2021,6,8
812074,OI,2021,8,55
891532,PESI,2021,9,5
97216,TEX,2021,4,26
318833,TISI,2021,1,32
1070985,CXW,2021,3,4
40704,GIS,2021,0,90
33488,ESCA,2021,4,38
855658,LSCC,2021,7,68
726601,CCBG,2021,5,33
1054905,IOSP,2021,8,59
1509589,CIVI,2021,9,37
1046311,CHH,2021,2,24
1126328,PFG,2021,5,57
1258602,NNI,2021,5,20
1043509,SAH,2021,2,31
100885,UNP,2021,8,36
746598,BRC,2021,4,9
1690820,CVNA,2021,2,31
350698,AN,2021,2,31
5981,AVD,2021,8,67
357173,OSBC,2021,5,33
4281,HWM,2021,4,22
7084,ADM,2021,8,96
1592000,ENLC,2021,9,41
1304421,CNSL,2021,3,86
943452,WAB,2021,1,94
764478,BBY,2021,0,30
714395,GABC,2021,5,33
28412,CMA,2021,5,33
95029,RGR,2021,4,38
8818,AVY,2021,8,85
1070412,CNX,2021,9,41
98362,TKR,2021,4,9
793952,HOG,2021,2,1
26780,DAN,2021,4,51
33185,EFX,2021,3,71
1318605,TSLA,2021,2,79
1472787,FAF,2021,5,14
354647,CVBF,2021,5,33
94049,SCL,2021,8,85
810332,MESA,2021,2,27
1396814,PCRX,2021,7,67
55135,KELYA,2021,3,39
820027,AMP,2021,5,16
920371,SSD,2021,4,10
1335258,LYV,2021,3,76
1002910,AEE,2021,6,8
1015328,WTFC,2021,5,16
857005,PTC,2021,4,21
49826,ITW,2021,4,10
1156388,BGFV,2021,0,70
730263,THO,2021,2,48
9326,BCPC,2021,8,59
1035983,FIX,2021,1,32
35527,FITB,2021,5,33
104918,AVA,2021,6,8
811156,CMS,2021,6,8
1374310,CBOE,2021,3,72
64803,CVS,2021,3,66
91767,SON,2021,8,55
723603,CULP,2021,4,78
1042046,AFG,2021,5,43
1039684,OKE,2021,9,41
866273,MTRX,2021,9,32
851968,MHK,2021,4,52
1545654,ALEX,2021,2,82
1410636,AWK,2021,6,74
1064728,BTU,2021,9,56
72741,ES,2021,6,45
1005757,CSGS,2021,3,86
1043337,SRI,2021,4,51
1177394,SNX,2021,3,21
902791,BBSI,2021,3,15
1573516,MUSA,2021,0,30
37808,FNB,2021,5,7
1420800,ENOV,2021,7,35
1032033,SLM,2021,5,20
12927,BA,2021,4,23
106640,WHR,2021,1,12
316709,SCHW,2021,5,16
922224,PPL,2021,6,45
106040,WDC,2021,7,68
1297184,AMPH,2021,7,67
886346,KAI,2021,4,85
75252,OMI,2021,7,2
59478,LLY,2021,7,47
1069258,KTOS,2021,4,64
230557,SIGI,2021,5,43
55785,KMB,2021,0,12
24741,GLW,2021,7,85
814585,MBI,2021,5,57
16040,CBT,2021,8,59
1514705,SXC,2021,9,56
1488813,CUBI,2021,5,7
785161,EHC,2021,3,42
1336917,UAA,2021,0,70
1636222,WING,2021,0,75
1408075,GPK,2021,8,65
1124804,MDRX,2021,3,66
1783180,CARR,2021,1,60
1403568,ULTA,2021,0,50
818479,XRAY,2021,7,80
750004,LNW,2021,3,69
1001250,EL,2021,0,12
1156375,CME,2021,3,72
46195,BOH,2021,5,82
875045,BIIB,2021,7,11
7536,ARW,2021,4,21
275053,NATR,2021,0,83
1219601,CCK,2021,8,55
1163302,X,2021,9,84
879526,WNC,2021,8,61
277135,GWW,2021,1,9
1145986,ASPN,2021,1,35
1130310,CNP,2021,6,45
917470,ZEUS,2021,4,84
51644,IPG,2021,3,19
1047862,ED,2021,6,45
1230245,PIPR,2021,5,16
37785,FMC,2021,8,85
1320854,RAIL,2021,4,94
1673985,ASIX,2021,8,59
1590895,CZR,2021,2,69
1618673,PFGC,2021,0,0
1071739,CNC,2021,3,66
107263,WMB,2021,9,41
871763,MAN,2021,3,39
766829,SJW,2021,6,74
1144215,AYI,2021,1,88
1164727,NEM,2021,9,84
310158,MRK,2021,7,47
940942,HUBG,2021,8,61
1592386,VIRT,2021,3,72
912463,GES,2021,0,2
875357,BOKF,2021,5,7
1018724,AMZN,2021,0,30
912767,UFPI,2021,4,28
1708055,RBBN,2021,3,86
352825,FSTR,2021,4,94
104169,WMT,2021,0,30
1021162,TGI,2021,4,23
91419,SJM,2021,0,90
1564708,NWSA,2021,3,49
66570,MSA,2021,1,2
896156,ETD,2021,2,78
1164863,NPO,2021,1,35
1037868,AME,2021,4,35
1053352,HTBK,2021,5,7
745308,JOE,2021,2,14
1041803,PSMT,2021,0,30
1403161,V,2021,3,3
1677703,CNDT,2021,3,66
764401,IIIN,2021,4,84
945114,GIC,2021,4,9
1561680,TPH,2021,2,91
1276187,ET,2021,9,41
1174922,WYNN,2021,2,17
1576940,CCS,2021,2,91
102212,UVSP,2021,5,33
90498,SFNC,2021,5,7
916365,TSCO,2021,0,50
1274494,FSLR,2021,7,79
1012019,RUSHA,2021,2,6
913760,SNEX,2021,5,16
842633,TRS,2021,4,10
88205,SPXC,2021,1,35
48898,HUBB,2021,1,88
37996,F,2021,2,31
1402829,ORN,2021,9,32
910521,DECK,2021,0,34
898437,ANIK,2021,7,80
927653,MCK,2021,7,66
882835,ROP,2021,7,97
1466026,MSBI,2021,5,33
1060822,CRI,2021,0,62
43920,GEF,2021,8,65
1633931,BLD,2021,1,10
1032208,SRE,2021,6,45
1467858,GM,2021,2,31
929008,WCC,2021,1,88
1437107,WBD,2021,3,40
74303,OLN,2021,8,59
1320695,THS,2021,0,58
29644,DCI,2021,1,6
1047335,NHC,2021,3,4
1326801,META,2021,3,95
88948,SENEA,2021,0,58
62996,MAS,2021,1,52
1138118,CBRE,2021,3,14
1601548,VVX,2021,3,64
1090727,UPS,2021,8,61
1069899,PAHC,2021,7,47
916076,MLM,2021,9,46
1133421,NOC,2021,4,64
882095,GILD,2021,7,11
861884,RS,2021,4,22
917520,IART,2021,7,80
883984,ICUI,2021,7,80
100493,TSN,2021,0,58
1031203,GPI,2021,2,31
1050797,COLM,2021,0,70
1455684,TPIC,2021,4,10
918541,NNBR,2021,4,22
906553,BYD,2021,2,69
1362004,ICFI,2021,3,32
88941,SMTC,2021,3,68
1584207,OMF,2021,5,71
745732,ROST,2021,0,50
753308,NEE,2021,6,45
702165,NSC,2021,8,36
103145,VECO,2021,7,68
61986,MTW,2021,4,26
1057706,FBP,2021,5,33
915779,DAKT,2021,4,68
58361,LEE,2021,3,49
79282,BRO,2021,5,15
1031296,FE,2021,6,8
1669779,CWH,2021,2,48
77543,TPC,2021,4,26
1616318,VSTO,2021,4,70
1082554,UTHR,2021,7,11
1099219,MET,2021,5,57
105770,WST,2021,7,67
1368458,SBH,2021,0,50
876427,MNRO,2021,2,31
55242,KMT,2021,4,22
1395942,KAR,2021,2,31
354190,AJG,2021,3,15
866787,AZO,2021,2,31
1390777,BK,2021,5,33
1800,ABT,2021,7,67
723254,CTAS,2021,0,12
1597672,RYAM,2021,8,65
760498,BANF,2021,5,7
78003,PFE,2021,7,47
71829,NR,2021,9,37
1001385,NWPX,2021,9,18
1365135,WU,2021,5,3
794367,M,2021,0,50
1090425,LAMR,2021,2,46
14707,CAL,2021,0,34
1535929,VOYA,2021,5,57
1120193,NDAQ,2021,3,72
861842,CATY,2021,5,33
886982,GS,2021,5,16
10795,BDX,2021,7,80
1699150,IR,2021,1,35
1142750,AMN,2021,3,39
91576,KEY,2021,5,33
814453,NWL,2021,0,12
1418135,KDP,2021,0,29
1528849,RH,2021,0,52
1109354,BRKR,2021,7,99
107140,WLY,2021,3,99
723125,MU,2021,7,68
1637207,PLNT,2021,0,24
764622,PNW,2021,6,45
1770450,XRX,2021,3,21
763532,LYTS,2021,1,88
1701605,BKR,2021,9,89
102752,VSEC,2021,4,64
45012,HAL,2021,9,89
918646,EXP,2021,9,46
1616707,W,2021,0,78
1525769,PLAY,2021,0,54
1585689,HLT,2021,2,24
1364885,SPR,2021,4,23
82811,RRX,2021,4,88
320335,GL,2021,5,57
1518715,HMST,2021,5,33
1016281,CSV,2021,3,14
877422,SPTN,2021,0,58
39311,IBCP,2021,5,7
1316835,BLDR,2021,4,28
877212,ZBRA,2021,7,21
949157,CENX,2021,9,84
1647088,WSC,2021,3,32
712515,EA,2021,3,38
110621,RPM,2021,4,10
98677,TR,2021,0,58
769397,ADSK,2021,4,21
1034670,ALV,2021,4,51
80035,PLPC,2021,1,88
1305323,ZVOI,2021,3,92
4977,AFL,2021,5,57
75362,PCAR,2021,4,6
1517175,CHEF,2021,0,58
1124198,FLR,2021,1,32
933136,COOP,2021,5,33
24545,TAP,2021,8,29
1141103,CCRN,2021,3,39
860748,KMPR,2021,5,43
1376339,MDXG,2021,7,80
1498710,SAVE,2021,2,27
15615,MTZ,2021,1,32
1136869,ZBH,2021,7,80
1157408,LRN,2021,3,92
1058090,CMG,2021,0,98
879169,INCY,2021,7,11
69891,FIZZ,2021,0,29
1604821,NTRA,2021,7,11
7789,ASB,2021,5,33
354950,HD,2021,0,52
91142,AOS,2021,1,18
48287,HNI,2021,4,52
921738,PENN,2021,2,69
1546417,BLMN,2021,0,98
789570,MGM,2021,2,17
1046568,PRDO,2021,3,92
19745,CPK,2021,6,41
1050915,PWR,2021,6,32
18498,GCO,2021,0,34
90896,SKY,2021,2,48
833079,MTH,2021,2,91
1060391,RSG,2021,9,5
1324404,CF,2021,8,5
884219,VVI,2021,2,24
917491,FARO,2021,7,97
1116942,TTMI,2021,4,68
92230,TFC,2021,5,33
1069202,LII,2021,1,60
1315257,KOP,2021,8,56
789933,NC,2021,9,56
763901,BPOP,2021,5,33
910638,DDD,2021,7,19
874499,GPOR,2021,9,37
30305,DCO,2021,4,64
1101302,ENTG,2021,7,35
23217,CAG,2021,0,90
933034,STRT,2021,4,51
791963,OPY,2021,5,16
16160,CALM,2021,0,90
915840,BZH,2021,2,91
1039065,OSIS,2021,7,2
4457,UHAL,2021,2,61
896878,INTU,2021,3,3
703604,DSGR,2021,4,9
885550,CACC,2021,5,71
79879,PPG,2021,4,22
46619,HEI,2021,4,35
1067701,URI,2021,2,26
92122,SO,2021,6,45
944809,OPK,2021,7,11
70318,THC,2021,3,4
96943,TFX,2021,7,80
1580905,IBP,2021,1,10
874501,AMBC,2021,5,57
912615,URBN,2021,0,50
354707,HE,2021,6,82
26324,CW,2021,4,64
1005210,SPH,2021,6,41
1124941,BECN,2021,4,28
1751788,DOW,2021,8,85
1069878,TREX,2021,4,28
1390478,SLS,2021,7,11
793733,SKYW,2021,2,27
1368622,AVAV,2021,4,64
1275187,ANGO,2021,7,80
1324948,RBC,2021,4,94
728535,JBHT,2021,8,61
38725,FELE,2021,1,63
860731,TYL,2021,3,21
1021561,NUS,2021,0,83
1397911,LPLA,2021,5,16
1065280,NFLX,2021,3,76
1296445,ORA,2021,6,45
1320461,CPS,2021,4,51
816956,CNMD,2021,7,80
1040130,PETS,2021,7,67
1657853,HTZ,2021,2,31
278166,CVCO,2021,2,48
86312,TRV,2021,5,43
716634,RDI,2021,2,76
1590715,AREC,2021,9,56
825542,SMG,2021,0,12
1014111,GLAE,2021,3,94
924822,MLR,2021,4,9
1378992,BERY,2021,8,55
74260,ORI,2021,5,43
29905,DOV,2021,4,85
1116132,TPR,2021,0,34
109380,ZION,2021,5,33
1144980,ABG,2021,2,31
712534,FRME,2021,5,7
790051,CSL,2021,4,10
1282648,BATL,2021,9,37
39911,GPS,2021,0,62
1043604,JNPR,2021,3,86
1474735,GNRC,2021,1,88
1022671,STLD,2021,4,84
866706,ESE,2021,1,35
1114483,ITGR,2021,7,80
1334036,CROX,2021,0,34
920760,LEN,2021,2,91
29534,DG,2021,0,50
60519,LPX,2021,4,28
1396009,VMC,2021,9,46
913142,BDC,2021,1,88
928658,CVLG,2021,8,61
927066,DVA,2021,3,66
880266,AGCO,2021,4,81
92380,LUV,2021,2,27
277509,FSS,2021,1,6
1012100,SEE,2021,8,55
1097864,ON,2021,7,68
854560,GSBC,2021,5,33
1265131,HTH,2021,5,7
1524472,XYL,2021,1,63
1037038,RL,2021,0,62
1381197,IBKR,2021,5,72
73124,NTRS,2021,5,16
701985,BBWI,2021,0,50
16058,CACI,2021,3,21
72331,NDSN,2021,4,85
34088,XOM,2021,9,25
1173514,HY,2021,4,26
217346,TXT,2021,4,23
1488139,AMRC,2021,6,35
1276520,GNW,2021,5,57
1287213,PLOW,2021,4,6
863110,ARTNA,2021,9,74
64040,SPGI,2021,3,72
317540,COKE,2021,0,29
746838,UIS,2021,3,21
937098,TNET,2021,3,3
93389,SMP,2021,1,51
310142,SXT,2021,8,85
897077,ALG,2021,4,81
731766,UNH,2021,3,66
732717,T,2021,3,13
4962,AXP,2021,5,3
1013880,TTEC,2021,3,21
1040470,AEHR,2021,7,44
796343,ADBE,2021,3,19
720672,SF,2021,5,16
915389,EMN,2021,8,85
1101215,BFH,2021,5,3
277948,CSX,2021,8,36
1133311,TZOO,2021,2,93
1361538,PRIM,2021,9,32
37472,FLXS,2021,4,78
1674168,HGV,2021,2,93
108516,WOR,2021,4,18
1417398,HI,2021,4,10
1385280,CNK,2021,2,76
868671,GBCI,2021,5,33
1666700,DD,2021,8,85
49196,HBAN,2021,5,33
59527,LECO,2021,4,88
55067,K,2021,0,90
1158463,JBLU,2021,2,27
868857,ACM,2021,3,32
759944,CFG,2021,5,33
10329,BSET,2021,2,78
1597033,SABR,2021,3,24
1049502,MKSI,2021,7,2
60714,LXU,2021,8,46
1708035,ECVT,2021,8,59
708955,FFBC,2021,5,33
1337298,FF,2021,8,59
876523,EZPW,2021,5,71
891014,MTX,2021,9,46
894405,ARCB,2021,8,61
320187,NKE,2021,0,70
1041061,YUM,2021,0,75
75677,PKG,2021,8,65
1792044,VTRS,2021,7,47
27904,DAL,2021,2,27
813762,IEP,2021,8,12
33213,EQT,2021,9,41
