tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
FMBI,"First Midwest Bancorp, Inc. (NASDAQGM:FMBI)",100268.0,"As of February 15, 2022, First Midwest Bancorp, Inc. was acquired by Old National Bancorp. First Mid","First Midwest Bancorp, Inc. operates as a bank holding company for First Midwest Bank that provides ",Anti-Fraud; EDI (Electronic Data Interchange); Consumer Lending,FMBI,NASDAQGM:FMBI,"First Midwest Bancorp, Inc.",both,nan,nan
CBT,Cabot Corporation (NYSE:CBT),4001703.0,Cabot Corporation operates as a specialty chemicals and performance materials company. The company o,"Cabot Corporation (Cabot) is a global specialty chemicals and performance materials company.

The co",CleanTech; Pollution Control,CBT,NYSE:CBT,Cabot Corporation,both,Cabot Corporation operates as a specialty chemicals and performance materials company. The company o,Cabot Corporation operates as a specialty chemicals and performance materials company. The company o
ELV,"Elevance Health, Inc. (NYSE:ELV)",4072364.0,"Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the ",nan,Outpatient Care; Employee Benefits; Chronic Diseases,ELV,NYSE:ELV,"Elevance Health, Inc.",both,"Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the ","Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the "
CUBI,"Customers Bancorp, Inc. (NYSE:CUBI)",4293992.0,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financ","Customers Bancorp, Inc. operates as the bank holding company for Customers Bank (collectively referr",Consumer Lending; Fintech; Blockchain; Digital Brokerage; Banking as a Service; Online Payments,CUBI,NYSE:CUBI,"Customers Bancorp, Inc.",both,"Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financ","Customers Bancorp, Inc. operates as the bank holding company for Customers Bank that provides financ"
EHC,Encompass Health Corporation (NYSE:EHC),4021543.0,Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto,"Encompass Health Corporation provides post-acute healthcare services.

The company owns and operates",Health Diagnostics; Neurology,EHC,NYSE:EHC,Encompass Health Corporation,both,Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto,Encompass Health Corporation provides post-acute healthcare services in the United States and Puerto
RBCN,"Rubicon Technology, Inc. (OTCQB:RBCN)",4384786.0,"Rubicon Technology, Inc. provides monocrystalline sapphire for applications in optical and industria","Rubicon Technology, Inc. is an advanced materials provider specializing in monocrystalline sapphire ",Sensors,RBCN,OTCQB:RBCN,"Rubicon Technology, Inc.",both,"Rubicon Technology, Inc. provides monocrystalline sapphire for applications in optical and industria","Rubicon Technology, Inc. provides monocrystalline sapphire for applications in optical and industria"
UAA,"Under Armour, Inc. (NYSE:UAA)",4256987.0,"Under Armour, Inc., together with its subsidiaries, engages developing, marketing, and distributing ","Under Armour, Inc. is a developer, marketer, and distributor of branded performance apparel, footwea",Lifestyle; Wearables; Brand Marketing; Smart Clothing; Amateur Sports,UAA,NYSE:UAA,"Under Armour, Inc.",both,"Under Armour, Inc., together with its subsidiaries, engages developing, marketing, and distributing ","Under Armour, Inc., together with its subsidiaries, engages developing, marketing, and distributing "
WING,Wingstop Inc. (NASDAQGS:WING),4227527.0,"Wingstop Inc., together with its subsidiaries, franchises and operates restaurants under the Wingsto","Wingstop Inc. (Wingstop) operates a fast casual chicken wings-focused restaurant chain worldwide.

T",,WING,NASDAQGS:WING,Wingstop Inc.,both,"Wingstop Inc., together with its subsidiaries, franchises and operates restaurants under the Wingsto","Wingstop Inc., together with its subsidiaries, franchises and operates restaurants under the Wingsto"
GPK,Graphic Packaging Holding Company (NYSE:GPK),4239834.0,"Graphic Packaging Holding Company, together with its subsidiaries, designs, produces, and sells cons",Graphic Packaging Holding Company provides consumer packaging that makes a world of difference. The ,Packaging Services,GPK,NYSE:GPK,Graphic Packaging Holding Company,both,"Graphic Packaging Holding Company, together with its subsidiaries, designs, produces, and sells cons","Graphic Packaging Holding Company, together with its subsidiaries, designs, produces, and sells cons"
CARR,Carrier Global Corporation (NYSE:CARR),4158618.0,"Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration",Carrier Global Corporation is a global leader in intelligent climate and energy solutions with a foc,Energy Management; Industrial Automation; Physical Security; Smart Building; Security Management,CARR,NYSE:CARR,Carrier Global Corporation,both,"Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration","Carrier Global Corporation provides heating, ventilating, and air conditioning (HVAC), refrigeration"
ULTA,"Ulta Beauty, Inc. (NASDAQGS:ULTA)",4107935.0,"Ulta Beauty, Inc. operates as a specialty beauty retailer in the United States. The company offers b","Ulta Beauty, Inc. (Ulta Beauty) operates as a specialty beauty retailer in the United States. The co",,ULTA,NASDAQGS:ULTA,"Ulta Beauty, Inc.",both,"Ulta Beauty, Inc. operates as a specialty beauty retailer in the United States. The company offers b","Ulta Beauty, Inc. operates as a specialty beauty retailer in the United States. The company offers b"
XRAY,DENTSPLY SIRONA Inc. (NASDAQGS:XRAY),4813221.0,DENTSPLY SIRONA Inc. manufactures and sells various dental products and technologies worldwide. It o,DENTSPLY SIRONA Inc. (Dentsply Sirona) operates as a manufacturer of professional dental products an,Health Diagnostics; Dentistry; Orthopaedics,XRAY,NASDAQGS:XRAY,DENTSPLY SIRONA Inc.,both,DENTSPLY SIRONA Inc. manufactures and sells various dental products and technologies worldwide. It o,DENTSPLY SIRONA Inc. manufactures and sells various dental products and technologies worldwide. It o
LNW,"Light & Wonder, Inc. (NASDAQGS:LNW)",4161278.0,"Light & Wonder, Inc. operates as a cross-platform games company in the United States and internation","Light & Wonder, Inc. (L&W) operates as a cross-platform global games company with a focus on content",Entertainment Systems; Video Games; E-Sports,LNW,NASDAQGS:LNW,"Light & Wonder, Inc.",both,"Light & Wonder, Inc. operates as a cross-platform games company in the United States and internation","Light & Wonder, Inc. operates as a cross-platform games company in the United States and internation"
GLPI,"Gaming and Leisure Properties, Inc. (NASDAQGS:GLPI)",4389214.0,"GLPI is engaged in the business of acquiring, financing, and owning real estate property to be lease",nan,,GLPI,NASDAQGS:GLPI,"Gaming and Leisure Properties, Inc.",both,"GLPI is engaged in the business of acquiring, financing, and owning real estate property to be lease","GLPI is engaged in the business of acquiring, financing, and owning real estate property to be lease"
EL,The Estée Lauder Companies Inc. (NYSE:EL),4913043.0,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and h","The Estee Lauder Companies Inc. operates as one of the world's leading manufacturers, marketers and ",Lifestyle; Social Media Marketing; Ad Targeting; Brand Marketing; Dermatology,EL,NYSE:EL,The Estée Lauder Companies Inc.,both,"The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and h","The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and h"
SXC,"SunCoke Energy, Inc. (NYSE:SXC)",4102535.0,"SunCoke Energy, Inc. operates as an independent producer of coke in the Americas and Brazil. The com","SunCoke Energy, Inc. (SunCoke Energy) is the largest independent producer of high-quality coke in th",Environmental Engineering; Marine Transportation; Disposal and Recycling; CleanTech,SXC,NYSE:SXC,"SunCoke Energy, Inc.",both,"SunCoke Energy, Inc. operates as an independent producer of coke in the Americas and Brazil. The com","SunCoke Energy, Inc. operates as an independent producer of coke in the Americas and Brazil. The com"
MBI,MBIA Inc. (NYSE:MBI),103405.0,MBIA Inc. provides financial guarantee insurance services to public finance markets in the United St,MBIA Inc. and its consolidated subsidiaries (MBIA) operates within the financial guarantee insurance,,MBI,NYSE:MBI,MBIA Inc.,both,MBIA Inc. provides financial guarantee insurance services to public finance markets in the United St,MBIA Inc. provides financial guarantee insurance services to public finance markets in the United St
FBC,"Flagstar Bancorp, Inc. (NYSE:FBC)",109084.0,"Flagstar Bancorp, Inc. operates as a savings and loan holding company for Flagstar Bank, FSB that pr","Flagstar Bancorp, Inc. operates as the bank holding company for Flagstar Bank, FSB that provides com",Consumer Lending,FBC,NYSE:FBC,"Flagstar Bancorp, Inc.",both,nan,nan
BA,The Boeing Company (NYSE:BA),4004086.0,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services","The Boeing Company, together with its subsidiaries, operates as a major aerospace company worldwide.",Fleet Management; Industrial Automation; Commercial Space Launch; Passenger Aircraft Manufacturing,BA,NYSE:BA,The Boeing Company,both,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services","The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services"
WHR,Whirlpool Corporation (NYSE:WHR),4001601.0,Whirlpool Corporation manufactures and markets home appliances and related products and services in ,"Whirlpool Corporation (Whirlpool) operates as a kitchen and laundry company.

Whirlpool manufactures",Onshore and Offshore Wind,WHR,NYSE:WHR,Whirlpool Corporation,both,Whirlpool Corporation manufactures and markets home appliances and related products and services in ,Whirlpool Corporation manufactures and markets home appliances and related products and services in 
SCHW,The Charles Schwab Corporation (NYSE:SCHW),102775.0,"The Charles Schwab Corporation, together with its subsidiaries, operates as a savings and loan holdi","The Charles Schwab Corporation (CSC) is a savings and loan holding company.

CSC engages, through it",,SCHW,NYSE:SCHW,The Charles Schwab Corporation,both,"The Charles Schwab Corporation, together with its subsidiaries, operates as a savings and loan holdi","The Charles Schwab Corporation, together with its subsidiaries, operates as a savings and loan holdi"
CRL,"Charles River Laboratories International, Inc. (NYSE:CRL)",4388431.0,"Charles River Laboratories International, Inc. provides drug discovery, non-clinical development, an",nan,Health Diagnostics; Genetics; Immunology; Infectious Diseases; Neurology; Oncology; Vaccines,CRL,NYSE:CRL,"Charles River Laboratories International, Inc.",both,"Charles River Laboratories International, Inc. provides drug discovery, non-clinical development, an","Charles River Laboratories International, Inc. provides drug discovery, non-clinical development, an"
PPL,PPL Corporation (NYSE:PPL),4057058.0,"PPL Corporation, an energy company, focuses on providing electricity and natural gas to approximatel","PPL Corporation (PPL) operates as a utility holding company.

PPL, through its regulated utility sub",Clean Energy; Energy Efficiency; Power Grid; Utility Scale Solar,PPL,NYSE:PPL,PPL Corporation,both,"PPL Corporation, an energy company, focuses on providing electricity and natural gas to approximatel","PPL Corporation, an energy company, focuses on providing electricity and natural gas to approximatel"
WDC,Western Digital Corporation (NASDAQGS:WDC),4071659.0,"Western Digital Corporation develops, manufactures, and sells data storage devices and solutions in ","Western Digital Corporation operates as a leading developer, manufacturer and provider of data stora",Flash Storage; Data Protection; Cloud Infrastructure; Cloud Storage; Data Centers and Facilities; Storage Management; Data Center Technology,WDC,NASDAQGS:WDC,Western Digital Corporation,both,"Western Digital Corporation develops, manufactures, and sells data storage devices and solutions in ","Western Digital Corporation develops, manufactures, and sells data storage devices and solutions in "
AMPH,"Amphastar Pharmaceuticals, Inc. (NASDAQGS:AMPH)",4260544.0,"Amphastar Pharmaceuticals, Inc., a bio-pharmaceutical company, develops, manufactures, markets, and ","Amphastar Pharmaceuticals, Inc. operates as a bio-pharmaceutical company.

The company is focusing p",Health Diagnostics; Diabetes; Cardiovascular; Endocrinology; Respiratory; Urology; Allergy,AMPH,NASDAQGS:AMPH,"Amphastar Pharmaceuticals, Inc.",both,"Amphastar Pharmaceuticals, Inc., a bio-pharmaceutical company, develops, manufactures, markets, and ","Amphastar Pharmaceuticals, Inc., a bio-pharmaceutical company, develops, manufactures, markets, and "
KAI,Kadant Inc. (NYSE:KAI),4992405.0,Kadant Inc. supplies technologies and engineered systems worldwide. It operates in three segments: F,Kadant Inc. operates as a global supplier of technologies and engineered systems that drive Sustaina,Environmental Engineering; Horticulture; Industrial Automation; Disposal and Recycling; Water Purification; CleanTech,KAI,NYSE:KAI,Kadant Inc.,both,Kadant Inc. supplies technologies and engineered systems worldwide. It operates in three segments: F,Kadant Inc. supplies technologies and engineered systems worldwide. It operates in three segments: F
OMI,"Owens & Minor, Inc. (NYSE:OMI)",4007272.0,"Owens & Minor, Inc., together with its subsidiaries, operates as a healthcare solutions company worl","Owens & Minor, Inc. and subsidiaries operate as a global healthcare solutions company. The company i",Health Diagnostics; MHealth; Diabetes; Sleep Technology; Respiratory; Surgery; Urology,OMI,NYSE:OMI,"Owens & Minor, Inc.",both,"Owens & Minor, Inc., together with its subsidiaries, operates as a healthcare solutions company worl","Owens & Minor, Inc., together with its subsidiaries, operates as a healthcare solutions company worl"
LLY,Eli Lilly and Company (NYSE:LLY),4059821.0,"Eli Lilly and Company discovers, develops, and markets human pharmaceuticals worldwide. The company ","Eli Lilly and Company discovers, develops, manufactures, and markets products in human pharmaceutica",Diabetes; Osteoporosis; Neurology; Oncology; Rheumatology; Urology; Utility Scale Solar,LLY,NYSE:LLY,Eli Lilly and Company,both,"Eli Lilly and Company discovers, develops, and markets human pharmaceuticals worldwide. The company ","Eli Lilly and Company discovers, develops, and markets human pharmaceuticals worldwide. The company "
KTOS,"Kratos Defense & Security Solutions, Inc. (NASDAQGS:KTOS)",4225417.0,"Kratos Defense & Security Solutions, Inc. operates as a technology company that addresses the defens","Kratos Defense & Security Solutions, Inc. (Kratos) operates as a technology, products, system and so",GPS; Homeland Security; Industrial Automation; Physical Security; Sensors; Simulation; Process Automation,KTOS,NASDAQGS:KTOS,"Kratos Defense & Security Solutions, Inc.",both,"Kratos Defense & Security Solutions, Inc. operates as a technology company that addresses the defens","Kratos Defense & Security Solutions, Inc. operates as a technology company that addresses the defens"
SIGI,"Selective Insurance Group, Inc. (NASDAQGS:SIGI)",103451.0,"Selective Insurance Group, Inc., together with its subsidiaries, provides insurance products and ser","Selective Insurance Group, Inc. operates as a property and casualty insurance company.

The company,",,SIGI,NASDAQGS:SIGI,"Selective Insurance Group, Inc.",both,"Selective Insurance Group, Inc., together with its subsidiaries, provides insurance products and ser","Selective Insurance Group, Inc., together with its subsidiaries, provides insurance products and ser"
KMB,Kimberly-Clark Corporation (NYSE:KMB),4060881.0,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care a",Kimberly-Clark Corporation principally engages in manufacturing and marketing a wide range of produc,Biomass Energy,KMB,NYSE:KMB,Kimberly-Clark Corporation,both,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care a","Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care a"
GLW,Corning Incorporated (NYSE:GLW),4004201.0,"Corning Incorporated engages in the display technologies, optical communications, environmental tech","Corning Incorporated (Corning) provides high-performance glass for notebook computers, flat panel de",Optical Infrastructure; Environmental Engineering; Sensors; Edge Computing; 3D Printing; Onshore and Offshore Wind,GLW,NYSE:GLW,Corning Incorporated,both,"Corning Incorporated engages in the display technologies, optical communications, environmental tech","Corning Incorporated engages in the display technologies, optical communications, environmental tech"
CME,CME Group Inc. (NASDAQGS:CME),4054016.0,"CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures",CME Group Inc. (CME Group) offers the widest range of global benchmark products across all major ass,Fintech; Data Protection; Cloud Security; Data Centers and Facilities; Cryptocurrency; Digital Brokerage,CME,NASDAQGS:CME,CME Group Inc.,both,"CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures","CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures"
BOH,Bank of Hawaii Corporation (NYSE:BOH),100161.0,Bank of Hawaii Corporation operates as the bank holding company for Bank of Hawaii that provides var,Bank of Hawaii Corporation operates as the bank holding company for Bank of Hawaii that provides a b,Consumer Lending,BOH,NYSE:BOH,Bank of Hawaii Corporation,both,Bank of Hawaii Corporation operates as the bank holding company for Bank of Hawaii that provides var,Bank of Hawaii Corporation operates as the bank holding company for Bank of Hawaii that provides var
BIIB,Biogen Inc. (NASDAQGS:BIIB),4152157.0,"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and ","Biogen Inc. (Biogen) is a global biopharmaceutical company.

The company focuses on discovering, dev",Neuroscience; Central Nervous System; Genetic Disorder; Immunology; Neurology; Oncology; Psychiatry,BIIB,NASDAQGS:BIIB,Biogen Inc.,both,"Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and ","Biogen Inc. discovers, develops, manufactures, and delivers therapies for treating neurological and "
ARW,"Arrow Electronics, Inc. (NYSE:ARW)",4066994.0,"Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial user","Arrow Electronics, Inc. (Arrow) operates as a global provider of products, services, and solutions t",Cloud Management; Data Integration; Data Protection; Cloud Data Services; Cloud Infrastructure; Cloud Security; Data Center Technology,ARW,NYSE:ARW,"Arrow Electronics, Inc.",both,"Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial user","Arrow Electronics, Inc. provides products, services, and solutions to industrial and commercial user"
MANT,ManTech International Corporation (NASDAQGS:MANT),4095674.0,"ManTech International Corporation provides technology solutions and services for USA defense, intell",ManTech International Corporation provides mission-focused technology solutions and services for the,Software Development; Data Integration; Physical Security; Predictive Analytics; Customer Analytics; Cloud Data Services; Cloud Security; Edge Computing; Network Security; Mobile Development Tools; Artificial Intelligence,MANT,NASDAQGS:MANT,ManTech International Corporation,both,nan,nan
PFGC,Performance Food Group Company (NYSE:PFGC),4930148.0,"Performance Food Group Company, through its subsidiaries, engages in the marketing and distribution ","Performance Food Group Company, through its subsidiaries, markets and distributes more than 250,000 ",Aquaculture; Farming; Fast-Moving Consumer Goods; Livestock; Online Grocery,PFGC,NYSE:PFGC,Performance Food Group Company,both,"Performance Food Group Company, through its subsidiaries, engages in the marketing and distribution ","Performance Food Group Company, through its subsidiaries, engages in the marketing and distribution "
CNC,Centene Corporation (NYSE:CNC),4022661.0,Centene Corporation operates as a healthcare enterprise that provides programs and services to under,"Centene Corporation (Centene) operates as a provider of government-sponsored healthcare.

The compan",MHealth; Predictive Analytics; Customer Analytics; Outpatient Care,CNC,NYSE:CNC,Centene Corporation,both,Centene Corporation operates as a healthcare enterprise that provides programs and services to under,Centene Corporation operates as a healthcare enterprise that provides programs and services to under
WMB,"The Williams Companies, Inc. (NYSE:WMB)",4011165.0,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure c","The Williams Companies, Inc. operates as an energy company.

The company provides infrastructure tha",Freight Service; Marine Transportation; Biomass Energy; ClimateTech,WMB,NYSE:WMB,"The Williams Companies, Inc.",both,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure c","The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure c"
MAN,ManpowerGroup Inc. (NYSE:MAN),4185702.0,ManpowerGroup Inc. provides workforce solutions and services worldwide. The company offers recruitme,ManpowerGroup Inc. (ManpowerGroup) is a global leader in innovative workforce solutions. Through its,Virtual Workforce; Employee Benefits; Social Recruiting; Employee Assistance Program (EAP),MAN,NYSE:MAN,ManpowerGroup Inc.,both,ManpowerGroup Inc. provides workforce solutions and services worldwide. The company offers recruitme,ManpowerGroup Inc. provides workforce solutions and services worldwide. The company offers recruitme
SJW,SJW Group (NASDAQGS:SJW),5000889.0,"SJW Group, through its subsidiaries, provides water utility and other related services in the United","SJW Group, through its subsidiaries, provides water utility services in the United States.

The prin",Energy Management; Environmental Consulting; Environmental Engineering; Water Purification; CleanTech,SJW,NASDAQGS:SJW,SJW Group,both,"SJW Group, through its subsidiaries, provides water utility and other related services in the United","SJW Group, through its subsidiaries, provides water utility and other related services in the United"
MDC,"M.D.C. Holdings, Inc. (NYSE:MDC)",4094399.0,"M.D.C. Holdings, Inc., through its subsidiaries, engages in the homebuilding and financial service b","M.D.C. Holdings, Inc. (MDC) provides homebuilding and financial services.

The company’s homebuildin",Consumer Lending; Home Improvement,MDC,NYSE:MDC,"M.D.C. Holdings, Inc.",both,nan,nan
AYI,"Acuity Brands, Inc. (NYSE:AYI)",4991217.0,"Acuity Brands, Inc. provides lighting, lighting controls, building management system, location-aware","Acuity Brands, Inc. is a market-leading industrial technology company.

The company uses technology ",Energy Management; Industrial Automation; Sensors; Smart Building; Smart Energy; Process Automation,AYI,NYSE:AYI,"Acuity Brands, Inc.",both,"Acuity Brands, Inc. provides lighting, lighting controls, building management system, location-aware","Acuity Brands, Inc. provides lighting, lighting controls, building management system, location-aware"
NEM,Newmont Corporation (NYSE:NEM),4075105.0,"Newmont Corporation engages in the production and exploration of gold. It also explores for copper, ",Newmont Corporation (Newmont) operates primarily as a gold producer with significant operations and/,Environmental Engineering; Farming; Utility Scale Solar,NEM,NYSE:NEM,Newmont Corporation,both,"Newmont Corporation engages in the production and exploration of gold. It also explores for copper, ","Newmont Corporation engages in the production and exploration of gold. It also explores for copper, "
MRK,"Merck & Co., Inc. (NYSE:MRK)",4004265.0,"Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Phar","Merck & Co., Inc. (Merck) operates as a global health care company that delivers health solutions th",Cardiovascular; Infectious Diseases; Neurology; Oncology; Respiratory; Vaccines; Utility Scale Solar,MRK,NYSE:MRK,"Merck & Co., Inc.",both,"Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Phar","Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Phar"
HUBG,"Hub Group, Inc. (NASDAQGS:HUBG)",4995234.0,"Hub Group, Inc., a supply chain solutions provider, offers transportation and logistics management s","Hub Group, Inc. is a leading supply chain solutions provider that offers comprehensive transportatio",Fleet Management; Freight Service; Last Mile Transportation; Courier Service; Process Automation,HUBG,NASDAQGS:HUBG,"Hub Group, Inc.",both,"Hub Group, Inc., a supply chain solutions provider, offers transportation and logistics management s","Hub Group, Inc., a supply chain solutions provider, offers transportation and logistics management s"
VIRT,"Virtu Financial, Inc. (NASDAQGS:VIRT)",4435552.0,"Virtu Financial, Inc. operates as a financial services company in the United States, Asia Pacific, C","Virtu Financial, Inc. operates as a financial services company.

The company leverages cutting edge ",,VIRT,NASDAQGS:VIRT,"Virtu Financial, Inc.",both,"Virtu Financial, Inc. operates as a financial services company in the United States, Asia Pacific, C","Virtu Financial, Inc. operates as a financial services company in the United States, Asia Pacific, C"
GES,"Guess?, Inc. (NYSE:GES)",4910854.0,"Guess?, Inc. designs, markets, distributes, and licenses lifestyle collections of apparel and access","Guess?, Inc. designs, markets, distributes and licenses lifestyle collections of contemporary appare",Lifestyle; Social Media Advertising; Social Media Marketing; Ad Targeting; Video Advertising; Brand Marketing,GES,NYSE:GES,"Guess?, Inc.",both,"Guess?, Inc. designs, markets, distributes, and licenses lifestyle collections of apparel and access","Guess?, Inc. designs, markets, distributes, and licenses lifestyle collections of apparel and access"
BOKF,BOK Financial Corporation (NASDAQGS:BOKF),100003.0,"BOK Financial Corporation operates as the financial holding company for BOKF, NA that provides vario","BOK Financial Corporation (BOK Financial) operates as the bank holding company for BOKF, NA (the ban",Consumer Lending; Digital Brokerage,BOKF,NASDAQGS:BOKF,BOK Financial Corporation,both,"BOK Financial Corporation operates as the financial holding company for BOKF, NA that provides vario","BOK Financial Corporation operates as the financial holding company for BOKF, NA that provides vario"
CZR,"Caesars Entertainment, Inc. (NASDAQGS:CZR)",4512023.0,"Caesars Entertainment, Inc. operates as a gaming and hospitality company. The company owns, leases, ","Caesars Entertainment, Inc. (Caesars) operates as a geographically diversified gaming and hospitalit",Entertainment Systems,CZR,NASDAQGS:CZR,"Caesars Entertainment, Inc.",both,"Caesars Entertainment, Inc. operates as a gaming and hospitality company. The company owns, leases, ","Caesars Entertainment, Inc. operates as a gaming and hospitality company. The company owns, leases, "
RHP,"Ryman Hospitality Properties, Inc. (NYSE:RHP)",4060183.0,"Ryman Hospitality Properties, Inc. (NYSE: RHP) is a leading lodging and hospitality real estate inve",nan,,RHP,NYSE:RHP,"Ryman Hospitality Properties, Inc.",both,nan,"Ryman Hospitality Properties, Inc. (NYSE: RHP) is a leading lodging and hospitality real estate inve"
ASIX,AdvanSix Inc. (NYSE:ASIX),4698704.0,AdvanSix Inc. engages in the manufacture and sale of polymer resins in the United States and interna,AdvanSix Inc. operates as a diversified chemistry company. The company is playing a critical role in,,ASIX,NYSE:ASIX,AdvanSix Inc.,both,AdvanSix Inc. engages in the manufacture and sale of polymer resins in the United States and interna,AdvanSix Inc. engages in the manufacture and sale of polymer resins in the United States and interna
ASPN,"Aspen Aerogels, Inc. (NYSE:ASPN)",4977885.0,"Aspen Aerogels, Inc. designs, develops, manufactures, and sells aerogel insulation products primaril","Aspen Aerogels, Inc. operates as an aerogel technology company that designs, develops and manufactur",,ASPN,NYSE:ASPN,"Aspen Aerogels, Inc.",both,"Aspen Aerogels, Inc. designs, develops, manufactures, and sells aerogel insulation products primaril","Aspen Aerogels, Inc. designs, develops, manufactures, and sells aerogel insulation products primaril"
NEX,NexTier Oilfield Solutions Inc. (NYSE:NEX),6636151.0,"As of September 1, 2023, NexTier Oilfield Solutions Inc. was acquired by Patterson-UTI Energy, Inc. ",NexTier Oilfield Solutions Inc. operates as the United States (U.S.) land focused oilfield service c,Environmental Engineering; Last Mile Transportation,NEX,NYSE:NEX,NexTier Oilfield Solutions Inc.,both,nan,nan
NATR,"Nature's Sunshine Products, Inc. (NASDAQCM:NATR)",4916903.0,"Nature's Sunshine Products, Inc., a natural health and wellness company, manufactures and sells nutr","Nature's Sunshine Products, Inc. operates as a natural health and wellness company.

The company pri",Nutraceutical; Cardiovascular; Gastroenterology; Immunology; Obesity,NATR,NASDAQCM:NATR,"Nature's Sunshine Products, Inc.",both,"Nature's Sunshine Products, Inc., a natural health and wellness company, manufactures and sells nutr","Nature's Sunshine Products, Inc., a natural health and wellness company, manufactures and sells nutr"
CCK,"Crown Holdings, Inc. (NYSE:CCK)",4419522.0,"Crown Holdings, Inc., together with its subsidiaries, engages in the packaging business in the Unite","Crown Holdings, Inc. is a leading global diversified packaging business that manufactures metal cans",Packaging Services,CCK,NYSE:CCK,"Crown Holdings, Inc.",both,"Crown Holdings, Inc., together with its subsidiaries, engages in the packaging business in the Unite","Crown Holdings, Inc., together with its subsidiaries, engages in the packaging business in the Unite"
X,United States Steel Corporation (NYSE:X),4009384.0,United States Steel Corporation produces and sells flat-rolled and tubular steel products primarily ,"United States Steel Corporation produces and sells steel products, including flat-rolled and tubular",,X,NYSE:X,United States Steel Corporation,both,United States Steel Corporation produces and sells flat-rolled and tubular steel products primarily ,United States Steel Corporation produces and sells flat-rolled and tubular steel products primarily 
WNC,Wabash National Corporation (NYSE:WNC),4056927.0,"Wabash National Corporation provides connected solutions for the transportation, logistics, and dist","Wabash National Corporation designs and manufactures a diverse range of products, including dry frei",Fleet Management; Freight Service; Industrial Automation; Last Mile Transportation,WNC,NYSE:WNC,Wabash National Corporation,both,"Wabash National Corporation provides connected solutions for the transportation, logistics, and dist","Wabash National Corporation provides connected solutions for the transportation, logistics, and dist"
GWW,"W.W. Grainger, Inc. (NYSE:GWW)",4071818.0,"W.W. Grainger, Inc., together with its subsidiaries, distributes maintenance, repair, and operating ","W.W. Grainger, Inc. (Grainger) operates as a broad line, distributor of maintenance, repair and oper",Freight Service; Courier Service; Process Automation; Storage Management,GWW,NYSE:GWW,"W.W. Grainger, Inc.",both,"W.W. Grainger, Inc., together with its subsidiaries, distributes maintenance, repair, and operating ","W.W. Grainger, Inc., together with its subsidiaries, distributes maintenance, repair, and operating "
CNP,"CenterPoint Energy, Inc. (NYSE:CNP)",4074390.0,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The comp","CenterPoint Energy, Inc. (CenterPoint Energy) operates as a public utility holding company. The comp",Energy Efficiency; Energy Management; Energy Storage; CleanTech; Power Grid,CNP,NYSE:CNP,"CenterPoint Energy, Inc.",both,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The comp","CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The comp"
