tic,SP_ENTITY_NAME,SP_ENTITY_ID,SP_BUSINESS_DESCRIPTION,SP_LONG_BUSINESS_DESCRIPTION,SP_TOPICTAG,SP_TICKER,SP_EXCHANGE_TICKER,SP_COMPANY_NAME,_merge,YH_BUS_DESC,SA_BUS_DESC
CNSL,"Consolidated Communications Holdings, Inc. (NASDAQGS:CNSL)",4121419.0,"Consolidated Communications Holdings, Inc., together with its subsidiaries, provides broadband and b","Consolidated Communications Holdings, Inc. (Consolidated) provides a wide range of communication sol",Network Backbone; VoIP; IaaS (Infrastructure as a Service); Edge Computing; Network Security; Data Centers and Facilities; 5G,CNSL,NASDAQGS:CNSL,"Consolidated Communications Holdings, Inc.",both,"Consolidated Communications Holdings, Inc., together with its subsidiaries, provides broadband and b","Consolidated Communications Holdings, Inc., together with its subsidiaries, provides broadband and b"
WAB,Westinghouse Air Brake Technologies Corporation (NYSE:WAB),4994265.0,"Westinghouse Air Brake Technologies Corporation, together with its subsidiaries, provides technology","Westinghouse Air Brake Technologies Corporation, doing business as Wabtec Corporation, operates as a",Fleet Management; Freight Service; Industrial Automation; Marine Transportation; Sensors; Electric Vehicle; Passenger Aircraft Manufacturing,WAB,NYSE:WAB,Westinghouse Air Brake Technologies Corporation,both,"Westinghouse Air Brake Technologies Corporation, together with its subsidiaries, provides technology","Westinghouse Air Brake Technologies Corporation, together with its subsidiaries, provides technology"
BBY,"Best Buy Co., Inc. (NYSE:BBY)",4095864.0,"Best Buy Co., Inc. engages in the retail of technology products in the United States, Canada, and in","Best Buy Co., Inc. provides various technology solutions.

The company has operations in the U.S. an",Food Delivery; Customer Relationship Management; E-learning; Wearables; Online Grocery,BBY,NYSE:BBY,"Best Buy Co., Inc.",both,"Best Buy Co., Inc. engages in the retail of technology products in the United States, Canada, and in","Best Buy Co., Inc. engages in the retail of technology products in the United States, Canada, and in"
STE,STERIS plc (NYSE:STE),4810920.0,STERIS plc provides infection prevention products and services worldwide. It operates through three ,STERIS plc operates as a global provider of products and services that support patient care with an ,Health Diagnostics; Dentistry; Respiratory; Vaccines,STE,NYSE:STE,STERIS plc,both,STERIS plc provides infection prevention products and services worldwide. It operates through three ,STERIS plc provides infection prevention products and services worldwide. It operates through three 
FRT,Federal Realty Investment Trust (NYSE:FRT),102950.0,"Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality ",nan,Utility Scale Solar,FRT,NYSE:FRT,Federal Realty Investment Trust,both,"Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality ","Federal Realty is a recognized leader in the ownership, operation and redevelopment of high-quality "
ISRG,"Intuitive Surgical, Inc. (NASDAQGS:ISRG)",4410647.0,"Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and hea",nan,Health Diagnostics; Assistive Technology; Surgery; Urology,ISRG,NASDAQGS:ISRG,"Intuitive Surgical, Inc.",both,"Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and hea","Intuitive Surgical, Inc. develops, manufactures, and markets products that enable physicians and hea"
GABC,"German American Bancorp, Inc. (NASDAQGS:GABC)",100551.0,"German American Bancorp, Inc. operates as a financial holding company for German American Bank that ","German American Bancorp, Inc. operates as a financial holding company.

The company, through its ban",Consumer Lending; Digital Brokerage,GABC,NASDAQGS:GABC,"German American Bancorp, Inc.",both,"German American Bancorp, Inc. operates as a financial holding company for German American Bank that ","German American Bancorp, Inc. operates as a financial holding company for German American Bank that "
CMA,Comerica Incorporated (NYSE:CMA),100206.0,"Comerica Incorporated, through its subsidiaries, provides various financial products and services. T","Comerica Incorporated (Comerica), through its subsidiaries, operates as a financial services company",Consumer Lending,CMA,NYSE:CMA,Comerica Incorporated,both,"Comerica Incorporated, through its subsidiaries, provides various financial products and services. T","Comerica Incorporated, through its subsidiaries, provides various financial products and services. T"
RGR,"Sturm, Ruger & Company, Inc. (NYSE:RGR)",4912216.0,"Sturm, Ruger & Company, Inc., together with its subsidiaries, designs, manufactures, and sells firea","Sturm, Ruger & Company, Inc. principally engages in the design, manufacture, and sale of firearms to",,RGR,NYSE:RGR,"Sturm, Ruger & Company, Inc.",both,"Sturm, Ruger & Company, Inc., together with its subsidiaries, designs, manufactures, and sells firea","Sturm, Ruger & Company, Inc., together with its subsidiaries, designs, manufactures, and sells firea"
AVY,Avery Dennison Corporation (NYSE:AVY),3001622.0,Avery Dennison Corporation operates as a materials science and digital identification solutions comp,Avery Dennison Corporation (Avery Dennison) operates as a global materials science and digital ident,RFID (Radio Frequency Identification); Sensors; Identity and Access Management; Smart Cards,AVY,NYSE:AVY,Avery Dennison Corporation,both,Avery Dennison Corporation operates as a materials science and digital identification solutions comp,Avery Dennison Corporation operates as a materials science and digital identification solutions comp
