cik,tic,Year,cluster_10,cluster_100
1551152,ABBV,2021,4,96
1739940,CI,2021,1,55
943819,RMD,2021,6,91
799233,HTLD,2021,2,9
1267238,AIZ,2021,1,61
1590976,MBUU,2021,2,35
320193,AAPL,2021,8,24
1057877,IDA,2021,3,3
812074,OI,2021,0,85
891532,PESI,2021,7,28
97216,TEX,2021,2,93
318833,TISI,2021,7,26
1070985,CXW,2021,6,25
40704,GIS,2021,0,31
33488,ESCA,2021,2,76
855658,LSCC,2021,9,49
726601,CCBG,2021,5,69
1054905,IOSP,2021,0,85
1509589,CIVI,2021,3,29
1046311,CHH,2021,6,18
1126328,PFG,2021,1,8
1258602,NNI,2021,1,25
1043509,SAH,2021,2,35
100885,UNP,2021,7,79
746598,BRC,2021,9,2
1690820,CVNA,2021,6,21
350698,AN,2021,2,35
5981,AVD,2021,0,85
357173,OSBC,2021,5,69
4281,HWM,2021,2,64
7084,ADM,2021,0,82
1592000,ENLC,2021,3,29
1304421,CNSL,2021,6,25
943452,WAB,2021,2,93
764478,BBY,2021,8,92
714395,GABC,2021,5,22
28412,CMA,2021,5,22
95029,RGR,2021,2,65
8818,AVY,2021,9,78
1070412,CNX,2021,3,29
98362,TKR,2021,2,64
793952,HOG,2021,6,35
26780,DAN,2021,2,64
33185,EFX,2021,6,94
1318605,TSLA,2021,2,36
1472787,FAF,2021,1,34
354647,CVBF,2021,5,69
94049,SCL,2021,0,85
810332,MESA,2021,6,88
1396814,PCRX,2021,4,19
55135,KELYA,2021,6,54
820027,AMP,2021,1,8
920371,SSD,2021,2,37
1335258,LYV,2021,6,51
1002910,AEE,2021,3,3
1015328,WTFC,2021,5,63
857005,PTC,2021,9,2
49826,ITW,2021,2,64
1156388,BGFV,2021,8,92
730263,THO,2021,2,16
9326,BCPC,2021,0,47
1035983,FIX,2021,2,93
35527,FITB,2021,5,4
104918,AVA,2021,3,3
811156,CMS,2021,3,3
1374310,CBOE,2021,1,94
64803,CVS,2021,6,23
91767,SON,2021,0,74
723603,CULP,2021,2,33
1042046,AFG,2021,1,8
1039684,OKE,2021,3,29
866273,MTRX,2021,7,68
851968,MHK,2021,2,33
1545654,ALEX,2021,6,88
1410636,AWK,2021,3,53
1064728,BTU,2021,3,29
72741,ES,2021,3,43
1005757,CSGS,2021,6,32
1043337,SRI,2021,2,64
1177394,SNX,2021,9,66
902791,BBSI,2021,6,32
1573516,MUSA,2021,8,44
37808,FNB,2021,1,15
1420800,ENOV,2021,9,49
1032033,SLM,2021,5,63
12927,BA,2021,9,36
106640,WHR,2021,2,99
316709,SCHW,2021,5,63
922224,PPL,2021,3,43
106040,WDC,2021,9,66
1297184,AMPH,2021,4,67
886346,KAI,2021,9,27
75252,OMI,2021,4,91
59478,LLY,2021,4,67
1069258,KTOS,2021,9,66
230557,SIGI,2021,1,61
55785,KMB,2021,0,0
24741,GLW,2021,9,78
814585,MBI,2021,1,8
16040,CBT,2021,9,81
1514705,SXC,2021,7,77
1488813,CUBI,2021,5,69
785161,EHC,2021,6,23
1336917,UAA,2021,8,24
1636222,WING,2021,8,70
1408075,GPK,2021,0,20
1124804,MDRX,2021,4,14
1783180,CARR,2021,2,36
1403568,ULTA,2021,8,75
818479,XRAY,2021,9,12
750004,LNW,2021,6,13
1001250,EL,2021,0,76
1156375,CME,2021,6,25
46195,BOH,2021,5,4
875045,BIIB,2021,4,96
7536,ARW,2021,9,36
275053,NATR,2021,0,56
1219601,CCK,2021,0,74
1163302,X,2021,7,41
879526,WNC,2021,2,16
277135,GWW,2021,2,99
1145986,ASPN,2021,9,86
1130310,CNP,2021,3,43
917470,ZEUS,2021,2,38
51644,IPG,2021,6,13
1047862,ED,2021,3,43
1230245,PIPR,2021,1,34
37785,FMC,2021,0,85
1320854,RAIL,2021,2,59
1673985,ASIX,2021,0,85
1590895,CZR,2021,6,57
1618673,PFGC,2021,0,0
1071739,CNC,2021,6,23
107263,WMB,2021,3,3
871763,MAN,2021,6,54
766829,SJW,2021,7,53
1144215,AYI,2021,9,52
1164727,NEM,2021,7,95
310158,MRK,2021,4,67
940942,HUBG,2021,2,9
1592386,VIRT,2021,1,94
912463,GES,2021,8,24
875357,BOKF,2021,5,69
1018724,AMZN,2021,8,75
912767,UFPI,2021,2,33
