cik,tic,Year,cluster_10,cluster_100
352541,LNT,2021,5,5
1704715,AMR,2021,5,72
1575515,SFM,2021,0,53
1125376,ENSG,2021,4,55
1674335,JELD,2021,7,88
1023128,LAD,2021,9,17
1262039,FTNT,2021,3,97
1122976,AVNT,2021,7,12
1128928,FLO,2021,0,0
58492,LEG,2021,7,68
1370946,OC,2021,7,76
1469367,RUN,2021,5,43
1486159,CHRD,2021,5,41
70145,NFG,2021,5,41
77476,PEP,2021,0,94
912728,FWRD,2021,9,61
73309,NUE,2021,7,62
1754301,FOXA,2021,3,29
882796,BCRX,2021,4,57
1309402,GPRE,2021,5,89
1524358,VAC,2021,2,86
80424,PG,2021,7,63
1283699,TMUS,2021,3,16
8947,AZZ,2021,1,3
804328,QCOM,2021,8,65
1120370,BWEN,2021,1,51
1655075,AFIIQ,2021,7,49
1361658,TNL,2021,2,86
40987,GPC,2021,9,17
1320414,SEM,2021,4,23
1584509,ARMK,2021,0,0
1552033,TRU,2021,3,96
1281761,RF,2021,6,15
93410,CVX,2021,5,41
76282,PKOH,2021,1,3
19584,CHE,2021,4,55
723531,PAYX,2021,3,40
101984,UEIC,2021,8,65
910329,MED,2021,4,26
5513,UNM,2021,6,56
31462,ECL,2021,7,71
1409171,TITN,2021,9,66
821026,ANDE,2021,7,89
817720,SYNA,2021,8,65
5272,AIG,2021,6,81
1013871,NRG,2021,5,51
1111928,IPGP,2021,8,48
66382,MLKN,2021,7,50
730708,SBCF,2021,6,95
1672013,GOLF,2021,0,37
1109242,HAFC,2021,6,95
355811,GNTX,2021,8,65
1262823,WLK,2021,7,54
26058,CTS,2021,8,21
14930,BC,2021,9,1
1637459,KHC,2021,0,83
892553,GTLS,2021,1,32
1345016,YELP,2021,3,29
844965,TTI,2021,1,8
819793,AIN,2021,7,14
936468,LMT,2021,8,42
29989,OMC,2021,3,19
352915,UHS,2021,4,23
98222,TDW,2021,5,8
200406,JNJ,2021,4,26
890564,ASGN,2021,3,21
42888,GGG,2021,1,32
719955,WSM,2021,0,38
828944,WSFS,2021,6,15
102037,UVV,2021,7,10
1084869,FLWS,2021,0,7
1481792,QUAD,2021,3,19
3453,MATX,2021,9,61
1747079,BALY,2021,2,52
1104657,MTRN,2021,8,91
47111,HSY,2021,0,83
1323885,ATRC,2021,4,59
1808997,AOUT,2021,7,34
27419,TGT,2021,0,53
1401257,FET,2021,1,8
912093,VIAV,2021,8,48
46080,HAS,2021,0,75
1555280,ZTS,2021,4,73
1332349,BKD,2021,2,87
930420,KFRC,2021,3,40
821189,EOG,2021,5,41
1041859,PLCE,2021,0,7
1289460,TXRH,2021,0,20
103379,VFC,2021,0,37
51143,IBM,2021,3,67
1402057,CDW,2021,3,67
60086,L,2021,2,41
737758,TTC,2021,1,66
1501585,HII,2021,8,1
1289848,HURN,2021,3,96
313616,DHR,2021,8,32
1326160,DUK,2021,5,5
932696,NSIT,2021,3,67
1300514,LVS,2021,2,18
4904,AEP,2021,5,5
1664703,BE,2021,5,51
717423,MUR,2021,5,41
73088,NWE,2021,5,5
945841,POOL,2021,1,71
1398987,HOUS,2021,2,11
1685040,BHF,2021,6,56
898173,ORLY,2021,9,17
1037646,MTD,2021,8,32
874766,HIG,2021,6,56
889900,PTEN,2021,5,8
1065696,LKQ,2021,9,25
1018963,ATI,2021,8,91
1433270,AR,2021,5,41
899051,ALL,2021,6,56
922621,ERIE,2021,6,81
880117,JBSS,2021,0,77
