cik,tic,Year,cluster_10,cluster_100
1020710,DXPE,2021,8,71
19617,JPM,2021,4,39
1633917,PYPL,2021,9,9
1389170,TRGP,2021,8,86
1617406,PK,2021,3,16
1638833,SGRY,2021,1,49
1002047,NTAP,2021,9,29
89800,SHW,2021,8,47
923120,GBX,2021,2,83
7431,AWI,2021,3,58
906163,NVR,2021,3,66
1288847,FIVN,2021,9,68
878927,ODFL,2021,2,50
1400891,IHRT,2021,9,22
832428,SSP,2021,9,22
1237831,GMED,2021,1,1
746515,EXPD,2021,2,50
1587523,KN,2021,9,38
1529864,ENVA,2021,4,10
1499832,TSQ,2021,9,22
1722684,WH,2021,3,16
1579298,BURL,2021,7,73
1096343,MKL,2021,5,4
811596,KALU,2021,2,55
1692819,VST,2021,6,8
1290900,CVGI,2021,2,51
1409970,LC,2021,4,10
1551152,ABBV,2021,1,23
1739940,CI,2021,5,79
943819,RMD,2021,1,1
799233,HTLD,2021,2,50
1267238,AIZ,2021,5,63
1590976,MBUU,2021,3,28
320193,AAPL,2021,9,42
1057877,IDA,2021,6,82
812074,OI,2021,0,26
891532,PESI,2021,8,57
97216,TEX,2021,8,13
318833,TISI,2021,8,81
1070985,CXW,2021,3,57
40704,GIS,2021,0,41
33488,ESCA,2021,3,28
855658,LSCC,2021,9,38
726601,CCBG,2021,4,40
1054905,IOSP,2021,8,85
1509589,CIVI,2021,8,25
1046311,CHH,2021,3,16
1126328,PFG,2021,5,4
1258602,NNI,2021,4,10
1043509,SAH,2021,2,36
100885,UNP,2021,2,83
746598,BRC,2021,9,2
1690820,CVNA,2021,2,36
350698,AN,2021,2,36
5981,AVD,2021,8,65
357173,OSBC,2021,4,40
4281,HWM,2021,2,76
7084,ADM,2021,0,59
1592000,ENLC,2021,8,86
1304421,CNSL,2021,9,52
943452,WAB,2021,2,83
764478,BBY,2021,7,78
714395,GABC,2021,4,40
28412,CMA,2021,4,39
95029,RGR,2021,3,28
8818,AVY,2021,9,93
1070412,CNX,2021,8,25
98362,TKR,2021,2,60
793952,HOG,2021,2,28
26780,DAN,2021,2,53
33185,EFX,2021,9,84
1318605,TSLA,2021,2,53
1472787,FAF,2021,5,63
354647,CVBF,2021,4,40
94049,SCL,2021,8,34
810332,MESA,2021,2,54
1396814,PCRX,2021,1,23
55135,KELYA,2021,9,12
820027,AMP,2021,5,39
920371,SSD,2021,3,58
1335258,LYV,2021,9,64
1002910,AEE,2021,6,8
1015328,WTFC,2021,4,39
857005,PTC,2021,9,92
49826,ITW,2021,2,60
1156388,BGFV,2021,7,48
730263,THO,2021,2,33
9326,BCPC,2021,8,59
1035983,FIX,2021,6,67
35527,FITB,2021,4,40
104918,AVA,2021,6,82
811156,CMS,2021,6,8
1374310,CBOE,2021,4,9
64803,CVS,2021,1,79
91767,SON,2021,8,61
723603,CULP,2021,3,7
1042046,AFG,2021,5,80
1039684,OKE,2021,8,86
866273,MTRX,2021,8,81
851968,MHK,2021,3,7
1545654,ALEX,2021,8,57
1410636,AWK,2021,6,94
1064728,BTU,2021,8,15
72741,ES,2021,6,82
1005757,CSGS,2021,9,68
1043337,SRI,2021,2,53
1177394,SNX,2021,9,68
902791,BBSI,2021,9,12
1573516,MUSA,2021,7,72
37808,FNB,2021,4,40
1420800,ENOV,2021,1,1
1032033,SLM,2021,4,10
12927,BA,2021,2,21
106640,WHR,2021,0,77
316709,SCHW,2021,4,39
922224,PPL,2021,6,8
106040,WDC,2021,9,45
1297184,AMPH,2021,1,23
886346,KAI,2021,8,93
75252,OMI,2021,1,14
59478,LLY,2021,1,23
1069258,KTOS,2021,2,70
230557,SIGI,2021,5,80
55785,KMB,2021,7,93
24741,GLW,2021,9,42
814585,MBI,2021,5,4
16040,CBT,2021,8,85
1514705,SXC,2021,8,15
1488813,CUBI,2021,4,40
785161,EHC,2021,1,32
1336917,UAA,2021,7,75
1636222,WING,2021,0,88
1408075,GPK,2021,9,61
1124804,MDRX,2021,1,79
1783180,CARR,2021,2,67
1403568,ULTA,2021,7,75
818479,XRAY,2021,1,1
750004,LNW,2021,9,64
1001250,EL,2021,7,75
1156375,CME,2021,8,84
46195,BOH,2021,4,40
875045,BIIB,2021,1,23
7536,ARW,2021,9,45
275053,NATR,2021,1,65
1219601,CCK,2021,0,61
1163302,X,2021,8,55
879526,WNC,2021,2,51
277135,GWW,2021,7,2
1145986,ASPN,2021,8,18
1130310,CNP,2021,6,8
917470,ZEUS,2021,8,55
51644,IPG,2021,9,84
1047862,ED,2021,6,8
1230245,PIPR,2021,4,39
37785,FMC,2021,8,59
1320854,RAIL,2021,2,83
1673985,ASIX,2021,8,34
1590895,CZR,2021,3,27
1618673,PFGC,2021,0,0
1071739,CNC,2021,1,79
107263,WMB,2021,6,86
871763,MAN,2021,9,12
766829,SJW,2021,6,94
1144215,AYI,2021,6,77
1164727,NEM,2021,8,35
310158,MRK,2021,1,23
940942,HUBG,2021,2,50
1592386,VIRT,2021,9,9
912463,GES,2021,7,75
875357,BOKF,2021,4,40
1018724,AMZN,2021,7,6
912767,UFPI,2021,3,44
1708055,RBBN,2021,9,29
352825,FSTR,2021,8,55
104169,WMT,2021,7,78
1021162,TGI,2021,2,21
91419,SJM,2021,0,41
1564708,NWSA,2021,9,22
66570,MSA,2021,5,4
896156,ETD,2021,3,31
1164863,NPO,2021,8,60
1037868,AME,2021,9,60
1053352,HTBK,2021,4,40
745308,JOE,2021,3,57
1041803,PSMT,2021,7,78
1403161,V,2021,4,9
1677703,CNDT,2021,9,12
764401,IIIN,2021,8,55
945114,GIC,2021,2,2
1561680,TPH,2021,3,66
1276187,ET,2021,6,86
1174922,WYNN,2021,3,16
1576940,CCS,2021,3,66
102212,UVSP,2021,4,40
