cik,tic,Year,cluster_10,cluster_100
1551152,ABBV,2021,9,63
1739940,CI,2021,9,28
943819,RMD,2021,9,2
799233,HTLD,2021,8,40
1267238,AIZ,2021,5,26
1590976,MBUU,2021,2,1
320193,AAPL,2021,7,9
1057877,IDA,2021,6,33
812074,OI,2021,4,76
891532,PESI,2021,8,5
97216,TEX,2021,1,38
318833,TISI,2021,1,24
1070985,CXW,2021,3,4
40704,GIS,2021,0,27
33488,ESCA,2021,4,75
855658,LSCC,2021,7,32
726601,CCBG,2021,5,30
1054905,IOSP,2021,4,43
1509589,CIVI,2021,8,42
1046311,CHH,2021,2,54
1126328,PFG,2021,5,81
1258602,NNI,2021,5,44
1043509,SAH,2021,2,35
100885,UNP,2021,8,83
746598,BRC,2021,4,75
1690820,CVNA,2021,2,35
350698,AN,2021,2,35
5981,AVD,2021,4,70
357173,OSBC,2021,5,30
4281,HWM,2021,1,46
7084,ADM,2021,4,50
1592000,ENLC,2021,8,66
1304421,CNSL,2021,3,31
943452,WAB,2021,1,46
764478,BBY,2021,0,73
714395,GABC,2021,5,30
28412,CMA,2021,5,30
95029,RGR,2021,2,75
8818,AVY,2021,4,52
1070412,CNX,2021,6,25
98362,TKR,2021,1,64
793952,HOG,2021,2,1
26780,DAN,2021,1,23
33185,EFX,2021,3,26
1318605,TSLA,2021,2,79
1472787,FAF,2021,5,11
354647,CVBF,2021,5,30
94049,SCL,2021,4,43
810332,MESA,2021,2,29
1396814,PCRX,2021,9,63
55135,KELYA,2021,3,47
820027,AMP,2021,5,15
920371,SSD,2021,4,20
1335258,LYV,2021,3,21
1002910,AEE,2021,6,78
1015328,WTFC,2021,5,30
857005,PTC,2021,7,82
49826,ITW,2021,1,46
1156388,BGFV,2021,0,49
730263,THO,2021,2,57
9326,BCPC,2021,4,43
1035983,FIX,2021,1,24
35527,FITB,2021,5,30
104918,AVA,2021,6,33
811156,CMS,2021,6,8
1374310,CBOE,2021,3,94
64803,CVS,2021,9,41
91767,SON,2021,4,76
723603,CULP,2021,4,61
1042046,AFG,2021,5,81
1039684,OKE,2021,6,66
866273,MTRX,2021,1,24
851968,MHK,2021,4,86
1545654,ALEX,2021,8,72
1410636,AWK,2021,6,84
1064728,BTU,2021,8,16
72741,ES,2021,6,78
1005757,CSGS,2021,3,3
1043337,SRI,2021,7,23
1177394,SNX,2021,7,67
902791,BBSI,2021,3,47
1573516,MUSA,2021,0,66
37808,FNB,2021,5,7
1420800,ENOV,2021,1,34
1032033,SLM,2021,5,91
12927,BA,2021,1,46
106640,WHR,2021,1,98
316709,SCHW,2021,5,15
922224,PPL,2021,6,33
106040,WDC,2021,7,62
1297184,AMPH,2021,9,63
886346,KAI,2021,4,14
75252,OMI,2021,9,41
59478,LLY,2021,9,63
1069258,KTOS,2021,7,92
230557,SIGI,2021,5,28
55785,KMB,2021,0,41
