caps,sale,at,ap,bkvlps,ceq,ch,ci,cogs,dp,cik,fyear
27.277,16.447,35.524,1.161,4.3415,29.188,16.652,4.746,13.166,0.742,766792.0,2021.0
24.0,3400.0,3306.0,480.0,16.694,947.0,168.0,355.0,2443.0,160.0,16040.0,2021.0
484.26,6044.135,6172.372,148.636,113.1503,2665.143,88.031,493.437,3930.67,125.4,16058.0,2021.0
242.386,295.839,391.581,31.815,2.0915,75.402,79.221,-28.386,156.564,22.804,730255.0,2021.0
651.121,790.909,3623.271,144.369,21.9226,1177.594,78.38,100.979,552.619,108.715,1035201.0,2021.0
414.0,8476.0,11734.0,1070.0,10.4371,3152.0,69.0,1013.0,5387.0,317.0,16732.0,2021.0
1808.9,8820.7,25855.8,899.2,62.5214,11731.9,199.4,-79.4,3768.4,342.4,16918.0,2021.0
0.782,4.808,8.42,0.0,1.0868,7.173,1.443,1.839,0.76,0.086,202947.0,2021.0
0.0,162467.0,44453.0,23700.0,6.1546,1791.0,3407.0,682.0,155312.0,805.0,721371.0,2021.0
322.6,1475.6,2971.2,142.4,28.9815,1392.3,287.4,-23.9,1329.5,123.6,17843.0,2021.0
119.54,769.271,633.766,109.546,11.7749,254.196,19.759,35.409,453.065,12.356,18255.0,2021.0
263.049,1627.158,1154.972,43.082,91.7528,830.455,244.15,197.242,1207.392,11.017,278166.0,2021.0
387.793,0.5,74.047,2.547,0.6446,55.796,19.586,-20.761,21.263,0.244,749647.0,2021.0
0.447,33.975,31.766,0.693,29.9886,28.969,2.037,1.113,26.191,1.319,19871.0,2021.0
685.4,3337.8,2274.9,127.7,-6.6078,-303.3,23.9,133.1,2834.5,150.2,703351.0,2021.0
310.3,5190.1,7996.5,663.8,13.3303,3233.2,240.6,836.9,2737.9,188.7,313927.0,2021.0
0.0,1597.2,2981.6,81.6,8.0525,306.8,291.3,249.1,1047.9,103.2,20212.0,2021.0
2876.571,3558.34,8881.309,206.007,6.3973,907.355,352.129,-158.84,1324.657,469.417,1400891.0,2021.0
135.953,5562.714,3445.57,464.989,75.9319,711.786,142.314,208.17,3443.665,183.643,317540.0,2021.0
18116.0,38655.0,94354.0,4602.0,5.3177,22999.0,9684.0,9941.0,13915.0,1442.0,21344.0,2021.0
123.135,1487.468,1888.93,104.539,35.3812,868.185,456.534,-101.902,865.084,54.971,21510.0,2021.0
674.777,887.214,1259.044,85.23,18.1776,882.502,290.201,144.389,487.665,48.567,21535.0,2021.0
