cik,tic,Year,cluster_10,cluster_100
700564,FULT,2021,2,36
823768,WM,2021,5,24
1325879,AVEO,2021,3,49
1086600,ARLP,2021,4,9
32604,EMR,2021,5,54
1180262,HLF,2021,7,72
1289308,ENS,2021,5,7
914712,STCN,2021,8,37
1289419,MORN,2021,2,19
861459,GVA,2021,1,20
860413,FIBK,2021,2,36
9389,BALL,2021,6,69
889331,LFUS,2021,8,91
313927,CHD,2021,7,63
883902,CNR,2021,5,17
68505,MSI,2021,8,44
1722482,AVTR,2021,3,23
1421182,VRS,2021,6,15
818686,TEVA,2021,3,88
1362468,ALGT,2021,1,89
1020710,DXPE,2021,5,60
1232524,JAZZ,2021,3,42
19617,JPM,2021,2,22
1633917,PYPL,2021,8,16
1389170,TRGP,2021,4,38
1617406,PK,2021,9,48
1638833,SGRY,2021,3,40
1002047,NTAP,2021,8,91
89800,SHW,2021,6,99
923120,GBX,2021,1,71
7431,AWI,2021,5,79
906163,NVR,2021,0,58
1288847,FIVN,2021,8,16
878927,ODFL,2021,1,82
1400891,IHRT,2021,9,50
832428,SSP,2021,9,98
1237831,GMED,2021,3,35
746515,EXPD,2021,1,90
1467373,ACN,2021,8,37
1587523,KN,2021,8,91
1529864,ENVA,2021,2,52
1499832,TSQ,2021,9,50
1681459,FTI,2021,4,74
1722684,WH,2021,0,75
1579298,BURL,2021,0,31
1096343,MKL,2021,2,10
811596,KALU,2021,6,59
1692819,VST,2021,4,11
1290900,CVGI,2021,5,1
1409970,LC,2021,2,51
1551152,ABBV,2021,3,49
1739940,CI,2021,3,42
943819,RMD,2021,3,13
799233,HTLD,2021,1,90
1267238,AIZ,2021,2,10
1730168,AVGO,2021,8,76
1590976,MBUU,2021,0,34
320193,AAPL,2021,8,16
1057877,IDA,2021,4,11
1801075,ANAT,2021,2,10
1527469,ATH,2021,2,10
812074,OI,2021,6,69
891532,PESI,2021,5,68
97216,TEX,2021,1,45
318833,TISI,2021,5,68
1070985,CXW,2021,1,68
40704,GIS,2021,7,85
33488,ESCA,2021,0,34
855658,LSCC,2021,8,76
726601,CCBG,2021,2,97
1054905,IOSP,2021,6,3
1509589,CIVI,2021,4,61
1289490,EXR,2021,9,12
1046311,CHH,2021,0,32
1126328,PFG,2021,2,56
914208,IVZ,2021,2,19
1258602,NNI,2021,2,36
1043509,SAH,2021,0,31
100885,UNP,2021,1,71
746598,BRC,2021,5,54
945764,DEN,2021,4,61
1690820,CVNA,2021,0,55
350698,AN,2021,0,31
5981,AVD,2021,6,29
357173,OSBC,2021,2,97
4281,HWM,2021,5,53
7084,ADM,2021,7,18
766704,WELL,2021,9,96
1592000,ENLC,2021,4,38
1304421,CNSL,2021,9,8
943452,WAB,2021,1,45
764478,BBY,2021,0,0
1757898,STE,2021,3,23
1707925,LIN,2021,4,7
34903,FRT,2021,9,30
1035267,ISRG,2021,3,46
714395,GABC,2021,2,97
28412,CMA,2021,2,36
95029,RGR,2021,0,0
8818,AVY,2021,6,59
1070412,CNX,2021,4,9
98362,TKR,2021,5,53
793952,HOG,2021,0,0
26780,DAN,2021,0,87
1001082,DISH,2021,9,86
33185,EFX,2021,5,43
1273931,MGI,2021,8,43
1318605,TSLA,2021,0,55
1472787,FAF,2021,2,22
354647,CVBF,2021,2,36
20520,FYBR,2021,9,8
820318,COHR,2021,8,6
910073,NYCB,2021,2,36
94049,SCL,2021,6,3
914025,POLY,2021,8,16
77360,PNR,2021,5,84
810332,MESA,2021,1,89
7332,SWN,2021,4,61
1396814,PCRX,2021,3,4
55135,KELYA,2021,1,82
820027,AMP,2021,2,10
920371,SSD,2021,5,79
1335258,LYV,2021,9,50
1002910,AEE,2021,4,11
1562476,TMHC,2021,0,58
1015328,WTFC,2021,2,52
857005,PTC,2021,8,44
49826,ITW,2021,5,73
1156388,BGFV,2021,0,57
866374,FLEX,2021,8,91
730263,THO,2021,0,34
9326,BCPC,2021,6,3
1035983,FIX,2021,5,84
35527,FITB,2021,2,52
1603923,WFRD,2021,4,74
701374,SIX,2021,0,95
104918,AVA,2021,4,11
811156,CMS,2021,4,11
1374310,CBOE,2021,2,66
64803,CVS,2021,3,42
91767,SON,2021,6,59
723603,CULP,2021,0,34
1042046,AFG,2021,2,10
1039684,OKE,2021,4,38
866273,MTRX,2021,1,68
1753886,STON,2021,0,58
851968,MHK,2021,0,34
1545654,ALEX,2021,9,48
1410636,AWK,2021,4,92
1064728,BTU,2021,4,9
72741,ES,2021,4,11
1005757,CSGS,2021,8,44
1043337,SRI,2021,0,67
1176948,ARES,2021,2,19
1177394,SNX,2021,8,44
1077771,UMPQ,2021,2,51
902791,BBSI,2021,1,89
1573516,MUSA,2021,0,57
37808,FNB,2021,2,36
933036,RCII,2021,0,0
1420800,ENOV,2021,3,35
1032033,SLM,2021,2,51
1033012,FBC,2021,2,52
1364742,BLK,2021,2,19
12927,BA,2021,1,89
106640,WHR,2021,0,93
316709,SCHW,2021,2,51
31791,PKI,2021,3,23
1100682,CRL,2021,3,23
922224,PPL,2021,4,11
106040,WDC,2021,8,76
1297184,AMPH,2021,3,49
886346,KAI,2021,5,54
75252,OMI,2021,3,35
59478,LLY,2021,3,88
1069258,KTOS,2021,1,39
230557,SIGI,2021,2,56
55785,KMB,2021,7,63
24741,GLW,2021,8,6
1067983,BRK.B,2021,2,22
814585,MBI,2021,2,97
16040,CBT,2021,6,99
1514705,SXC,2021,6,29
1156039,ELV,2021,3,42
1488813,CUBI,2021,2,36
785161,EHC,2021,3,40
1410172,RBCN,2021,8,6
1336917,UAA,2021,0,93
1636222,WING,2021,0,14
1408075,GPK,2021,6,15
860546,OFC,2021,9,30
1124804,MDRX,2021,3,46
1783180,CARR,2021,5,84
1403568,ULTA,2021,0,64
818479,XRAY,2021,3,35
750004,LNW,2021,0,80
1575965,GLPI,2021,9,48
1001250,EL,2021,7,5
1156375,CME,2021,2,66
46195,BOH,2021,2,51
875045,BIIB,2021,3,49
7536,ARW,2021,8,91
1688476,NEX,2021,4,33
275053,NATR,2021,7,72
1219601,CCK,2021,6,15
1163302,X,2021,6,99
879526,WNC,2021,1,1
277135,GWW,2021,5,73
1145986,ASPN,2021,6,17
1130310,CNP,2021,4,11
917470,ZEUS,2021,6,59
51644,IPG,2021,9,62
1047862,ED,2021,4,11
1230245,PIPR,2021,2,19
16875,CP,2021,1,71
37785,FMC,2021,6,69
1320854,RAIL,2021,5,71
1673985,ASIX,2021,6,3
1040829,RHP,2021,9,26
1590895,CZR,2021,0,80
892537,MANT,2021,1,39
1618673,PFGC,2021,7,5
1071739,CNC,2021,3,42
1451505,RIG,2021,1,33
107263,WMB,2021,4,38
871763,MAN,2021,1,82
