cik,tic,Year,GICS_Sector
1306830,CE,2021,15.0
99780,TRN,2021,20.0
1590714,ESI,2021,15.0
1021635,OGE,2021,55.0
105418,WMK,2021,30.0
840489,FCFS,2021,40.0
310764,SYK,2021,35.0
707549,LRCX,2021,45.0
1113809,BBW,2021,25.0
743238,SHYF,2021,20.0
56873,KR,2021,30.0
78128,WTRG,2021,55.0
859737,HOLX,2021,35.0
897723,SANM,2021,45.0
27996,DLX,2021,20.0
1519751,FBIN,2021,20.0
9984,B,2021,20.0
711377,NEOG,2021,35.0
103730,VSH,2021,45.0
318154,AMGN,2021,35.0
1739104,ELAN,2021,35.0
20286,CINF,2021,40.0
69488,MYE,2021,15.0
1739445,ACA,2021,20.0
1745916,PFSI,2021,40.0
1123360,GPN,2021,45.0
1020569,IRM,2021,60.0
700564,FULT,2021,40.0
823768,WM,2021,20.0
1325879,AVEO,2021,35.0
1086600,ARLP,2021,10.0
32604,EMR,2021,20.0
1180262,HLF,2021,30.0
1289308,ENS,2021,20.0
914712,STCN,2021,45.0
1289419,MORN,2021,40.0
861459,GVA,2021,20.0
860413,FIBK,2021,40.0
9389,BALL,2021,15.0
889331,LFUS,2021,45.0
313927,CHD,2021,30.0
883902,CNR,2021,20.0
68505,MSI,2021,45.0
1722482,AVTR,2021,35.0
1421182,VRS,2021,15.0
818686,TEVA,2021,35.0
1362468,ALGT,2021,20.0
1020710,DXPE,2021,20.0
1232524,JAZZ,2021,35.0
19617,JPM,2021,40.0
1633917,PYPL,2021,45.0
1389170,TRGP,2021,10.0
1617406,PK,2021,60.0
1638833,SGRY,2021,35.0
1002047,NTAP,2021,45.0
89800,SHW,2021,15.0
923120,GBX,2021,20.0
7431,AWI,2021,20.0
906163,NVR,2021,25.0
1288847,FIVN,2021,45.0
878927,ODFL,2021,20.0
1400891,IHRT,2021,50.0
832428,SSP,2021,50.0
1237831,GMED,2021,35.0
746515,EXPD,2021,20.0
1467373,ACN,2021,45.0
1587523,KN,2021,45.0
1529864,ENVA,2021,40.0
1499832,TSQ,2021,50.0
1681459,FTI,2021,10.0
1722684,WH,2021,25.0
1579298,BURL,2021,25.0
1096343,MKL,2021,40.0
811596,KALU,2021,15.0
1692819,VST,2021,55.0
1290900,CVGI,2021,20.0
1409970,LC,2021,40.0
1551152,ABBV,2021,35.0
1739940,CI,2021,35.0
943819,RMD,2021,35.0
799233,HTLD,2021,20.0
1267238,AIZ,2021,40.0
1730168,AVGO,2021,45.0
1590976,MBUU,2021,25.0
320193,AAPL,2021,45.0
1057877,IDA,2021,55.0
1801075,ANAT,2021,40.0
1527469,ATH,2021,40.0
812074,OI,2021,15.0
891532,PESI,2021,20.0
97216,TEX,2021,20.0
318833,TISI,2021,20.0
1070985,CXW,2021,20.0
40704,GIS,2021,30.0
33488,ESCA,2021,25.0
855658,LSCC,2021,45.0
726601,CCBG,2021,40.0
1054905,IOSP,2021,15.0
1509589,CIVI,2021,10.0
1289490,EXR,2021,60.0
1046311,CHH,2021,25.0
1126328,PFG,2021,40.0
914208,IVZ,2021,40.0
1258602,NNI,2021,40.0
1043509,SAH,2021,25.0
100885,UNP,2021,20.0
746598,BRC,2021,20.0
945764,DEN,2021,10.0
1690820,CVNA,2021,25.0
350698,AN,2021,25.0
5981,AVD,2021,15.0
357173,OSBC,2021,40.0
4281,HWM,2021,20.0
7084,ADM,2021,30.0
766704,WELL,2021,60.0
1592000,ENLC,2021,10.0
1304421,CNSL,2021,50.0
943452,WAB,2021,20.0
764478,BBY,2021,25.0
1757898,STE,2021,35.0
1707925,LIN,2021,15.0
34903,FRT,2021,60.0
1035267,ISRG,2021,35.0
714395,GABC,2021,40.0
28412,CMA,2021,40.0
95029,RGR,2021,25.0
8818,AVY,2021,15.0
1070412,CNX,2021,10.0
98362,TKR,2021,20.0
793952,HOG,2021,25.0
26780,DAN,2021,25.0
1001082,DISH,2021,50.0
33185,EFX,2021,20.0
1273931,MGI,2021,45.0
1318605,TSLA,2021,25.0
1472787,FAF,2021,40.0
354647,CVBF,2021,40.0
20520,FYBR,2021,50.0
